"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"64175","인천광역시 강화군 강화읍 갑곳리","667","0667","0000","현대","전세","84.8900","202502","28","10,000","0","10","1994","강화대로 191-14","-","-","-","","","아파트"
"64176","인천광역시 강화군 선원면 창리","709","0709","0000","강화서희스타힐스2단지","전세","59.9669","202502","28","15,000","0","17","2024","중앙로 162-57","202503~202703","신규","-","","","아파트"
"64177","인천광역시 서구 불로동","864","0864","0000","힐스테이트검단포레스트","전세","84.8802","202502","28","24,500","0","3","2024","용해로 20","202504~202704","신규","-","","","아파트"
"64178","인천광역시 서구 불로동","864","0864","0000","힐스테이트검단포레스트","전세","84.8616","202502","28","26,000","0","16","2024","용해로 20","-","-","-","","","아파트"
"64179","인천광역시 서구 불로동","864","0864","0000","힐스테이트검단포레스트","전세","84.8616","202502","28","25,000","0","13","2024","용해로 20","202503~202703","신규","-","","","아파트"
"64180","인천광역시 서구 청라동","85-1","0085","0001","청라국제금융단지한양수자인레이크블루","월세","59.7588","202502","28","2,000","155","6","2019","청라한내로 132","202503~202703","신규","-","","","아파트"
"64181","인천광역시 서구 청라동","103-15","0103","0015","청라호수공원한신더휴","월세","84.9878","202502","28","5,000","160","1","2020","청라한내로 40","202502~202702","신규","-","","","아파트"
"64182","인천광역시 서구 청라동","103-16","0103","0016","청라SKVIEW","전세","126.7750","202502","28","42,000","0","12","2011","솔빛로 93","202503~202703","갱신","-","34,000","0","아파트"
"64183","인천광역시 서구 청라동","130-2","0130","0002","청라웰카운티1차","월세","84.9792","202502","28","10,000","105","18","2010","청라에메랄드로 156","202502~202602","갱신","-","10,000","105","아파트"
"64184","인천광역시 서구 청라동","160-1","0160","0001","청라린스트라우스","전세","101.3622","202502","28","47,000","0","20","2013","청라라임로 85","202503~202703","신규","-","","","아파트"
"64185","인천광역시 서구 청라동","165-10","0165","0010","서해그랑블","전세","59.9744","202502","28","21,000","0","3","2010","청라에메랄드로 65","202503~202703","갱신","사용","20,000","0","아파트"
"64186","인천광역시 서구 청라동","184-1","0184","0001","청라엘에이치","월세","46.6400","202502","28","3,069","28","1","2011","청라커낼로 232","202504~202703","갱신","-","2,069","26","아파트"
"64187","인천광역시 서구 청라동","193-1","0193","0001","청라자이","전세","96.1614","202502","28","33,000","0","5","2010","청라에메랄드로 30","202504~202704","신규","-","","","아파트"
"64188","인천광역시 서구 청라동","83-1","0083","0001","청라국제업무단지센텀대광로제비앙","전세","82.9117","202502","28","24,000","0","9","2018","비즈니스로 166","202502~202504","갱신","-","24,000","0","아파트"
"64189","인천광역시 서구 청라동","173-1","0173","0001","청라29블럭호반베르디움","전세","84.9289","202502","28","37,000","0","28","2012","청라커낼로 163","202504~202704","갱신","-","27,000","0","아파트"
"64190","인천광역시 서구 청라동","139-1","0139","0001","청라한화꿈에그린","전세","100.7927","202502","28","43,000","0","11","2012","크리스탈로 148","202504~202704","신규","-","","","아파트"
"64191","인천광역시 서구 청라동","102-3","0102","0003","청라동양엔파트","월세","118.8352","202502","28","7,000","200","21","2012","솔빛로 13","202503~202703","신규","-","","","아파트"
"64192","인천광역시 서구 청라동","166-1","0166","0001","청라웰카운티 2차","전세","124.8200","202502","28","43,000","0","4","2012","청라에메랄드로 112","202504~202704","신규","-","","","아파트"
"64193","인천광역시 서구 청라동","173-1","0173","0001","청라29블럭호반베르디움","전세","84.9482","202502","28","35,000","0","23","2012","청라커낼로 163","202502~202702","갱신","-","31,000","0","아파트"
"64194","인천광역시 서구 청라동","173-1","0173","0001","청라29블럭호반베르디움","전세","84.9482","202502","28","35,000","0","23","2012","청라커낼로 163","202502~202702","갱신","-","31,000","0","아파트"
"64195","인천광역시 서구 청라동","85-1","0085","0001","청라국제금융단지한양수자인레이크블루","전세","84.6444","202502","28","41,000","0","27","2019","청라한내로 132","202504~202703","신규","-","","","아파트"
"64196","인천광역시 서구 청라동","185-1","0185","0001","힐데스하임","전세","59.9435","202502","28","27,000","0","17","2011","청라라임로 17","202504~202704","신규","-","","","아파트"
"64197","인천광역시 서구 청라동","166-1","0166","0001","청라웰카운티 2차","전세","124.8200","202502","28","43,000","0","4","2012","청라에메랄드로 112","202504~202703","신규","-","","","아파트"
"64198","인천광역시 서구 원당동","1065-2","1065","0002","우미린더헤리티지","전세","84.8707","202502","28","28,400","0","19","2022","이음4로 94","202503~202703","갱신","-","27,000","0","아파트"
"64199","인천광역시 서구 왕길동","697-1","0697","0001","드림파크어울림1단지","월세","84.9025","202502","28","2,500","100","1","2010","봉화로 18","202504~202704","신규","-","","","아파트"
