"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"10124","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","12","2023","남장3길 23","202602~202802","신규","-","","","아파트"
"10125","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","15","2023","남장3길 23","202602~202802","신규","-","","","아파트"
"10126","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","13","2023","남장3길 23","202602~202802","갱신","-","23,800","0","아파트"
"10127","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","15","2023","남장3길 23","202602~202802","갱신","-","23,800","0","아파트"
"10128","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","5","2023","남장3길 23","202602~202802","갱신","-","23,800","0","아파트"
"10129","충청남도 예산군 삽교읍 목리","832","0832","0000","이지더원센트럴에듀","전세","73.1700","202511","30","20,000","0","10","2024","예학로 111","202601~202801","신규","-","","","아파트"
"10130","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","9","2023","남장3길 23","202602~202802","신규","-","","","아파트"
"10131","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","6","2023","남장3길 23","202602~202802","갱신","-","23,800","0","아파트"
"10132","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","22,300","0","1","2023","남장3길 23","202602~202802","갱신","-","22,300","0","아파트"
"10133","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","22,800","0","2","2023","남장3길 23","202602~202802","갱신","-","22,800","0","아파트"
"10134","충청남도 홍성군 홍성읍 남장리","631","0631","0000","홍성승원팰리체아파트","전세","84.3860","202511","30","23,800","0","11","2023","남장3길 23","202602~202802","갱신","-","23,800","0","아파트"
"10135","충청남도 천안시 동남구 문화동","180","0180","0000","천안역필하우스에듀시티(1단지)","월세","84.9861","202511","30","3,000","100","5","2022","성황로 40","202601~202801","신규","-","","","아파트"
"10136","충청남도 서산시 성연면 왕정리","719","0719","0000","이안서산테크노밸리","전세","84.9794","202511","30","18,000","0","22","2015","성연3로 36","202601~202801","신규","-","","","아파트"
"10137","충청남도 천안시 서북구 불당동","1463","1463","0000","천안불당엘에이치1단지","월세","16.5200","202511","30","2,725","7","7","2019","불당24로 9","202512~202711","갱신","-","2,025","11","아파트"
"10138","충청남도 천안시 서북구 불당동","1544","1544","0000","천안 불당 지웰시티푸르지오 1단지","월세","99.8966","202511","30","25,000","150","6","2017","불당26로 80","202601~202801","신규","-","","","아파트"
"10139","충청남도 천안시 서북구 두정동","1320","1320","0000","프라지움2","월세","23.4900","202511","30","500","45","5","2013","두정로 216","202512~202612","신규","-","","","아파트"
"10140","충청남도 천안시 서북구 백석동","191-3","0191","0003","현대","전세","84.6700","202511","30","14,000","0","4","1992","백석로 136","202601~202801","신규","-","","","아파트"
"10141","충청남도 천안시 서북구 두정동","1486","1486","0000","두정미소마을","월세","14.2000","202511","30","210","33","3","2012","두정상가4길 32-6","202511~202711","갱신","-","210","33","아파트"
"10142","충청남도 천안시 서북구 불당동","788","0788","0000","불당한성필하우스","전세","59.9813","202511","30","19,000","0","9","2004","불당11로 68","202512~202712","갱신","사용","19,000","0","아파트"
"10143","충청남도 천안시 서북구 백석동","191-3","0191","0003","현대","전세","84.6700","202511","30","14,000","0","4","1992","백석로 136","202601~202801","신규","-","","","아파트"
"10144","충청남도 천안시 서북구 불당동","1811","1811","0000","불당호반베르디움TheFirst","전세","59.9160","202511","30","30,000","0","17","2016","불당19로 200","202601~202801","신규","-","","","아파트"
"10145","충청남도 천안시 서북구 불당동","1292","1292","0000","펜타포트(101동102동)","전세","162.6490","202511","30","52,000","0","38","2011","공원로 195","202602~202802","신규","-","","","아파트"
"10146","충청남도 천안시 동남구 풍세면 보성리","772","0772","0000","천안한양수자인에코시티","월세","84.9647","202511","30","300","40","22","2023","풍세산단로 290","202511~202611","신규","-","","","아파트"
"10147","충청남도 천안시 서북구 쌍용동","1914","1914","0000","주공9","월세","49.7700","202511","30","1,000","55","8","1998","봉서산샛길 65","202511~202711","신규","-","","","아파트"
"10148","충청남도 천안시 서북구 쌍용동","653","0653","0000","쌍용모란","월세","96.8700","202511","30","2,000","90","12","1994","쌍용17길 8","202601~202801","신규","-","","","아파트"
"10149","충청남도 천안시 서북구 두정동","1000","1000","0000","한성필하우스1차","전세","84.8920","202511","30","17,300","0","2","2002","부성6길 11","202512~202712","갱신","사용","17,300","0","아파트"
"10150","충청남도 천안시 서북구 두정동","2078","2078","0000","두정역효성해링턴플레이스","전세","59.9200","202511","30","26,000","0","8","2020","봉정로 324","202602~202802","신규","-","","","아파트"
"10151","충청남도 천안시 서북구 두정동","1332","1332","0000","더리치빌2","전세","20.3200","202511","30","3,900","0","9","2013","두정상가3길 20","202511~202711","신규","-","","","아파트"
"10152","충청남도 천안시 서북구 성환읍 매주리","183","0183","0000","성환부영","전세","49.9200","202511","30","7,000","0","11","1998","천안대로 1843","202511~202711","신규","-","","","아파트"
"10153","충청남도 천안시 서북구 불당동","820","0820","0000","대동다숲","월세","84.7824","202511","30","2,000","105","2","2004","시청로 39","202601~202801","신규","-","","","아파트"
"10154","충청남도 아산시 배방읍 공수리","1486","1486","0000","배방3차한성필하우스","전세","59.9940","202511","30","20,000","0","24","2017","모산로 51","202602~202802","신규","-","","","아파트"
"10155","충청남도 아산시 신창면 행목리","498","0498","0000","아산신창양우내안애","월세","35.1000","202511","30","300","40","12","2014","행목로 202","202512~202609","신규","-","","","아파트"
"10156","충청남도 아산시 신창면 행목리","498","0498","0000","아산신창양우내안애","월세","49.5000","202511","30","500","55","5","2014","행목로 202","202512~202612","신규","-","","","아파트"
"10157","충청남도 아산시 배방읍 공수리","1486","1486","0000","배방3차한성필하우스","전세","59.9940","202511","30","20,000","0","24","2017","모산로 51","202602~202802","신규","-","","","아파트"
"10158","충청남도 아산시 탕정면 명암리","809","0809","0000","탕정삼성트라팰리스(1단지~3단지)","전세","84.9900","202511","30","30,000","0","30","2009","탕정면로 37","202512~202712","갱신","사용","30,000","0","아파트"
"10159","충청남도 아산시 탕정면 명암리","809","0809","0000","탕정삼성트라팰리스(4단지)","전세","107.0400","202511","30","46,000","0","31","2013","탕정면로 37","202601~202801","신규","-","","","아파트"
"10160","충청남도 천안시 동남구 봉명동","494","0494","0000","봉명청솔(3차)","전세","56.3400","202511","30","12,000","0","14","2001","봉서8길 13","202602~202802","신규","-","","","아파트"
"10161","충청남도 천안시 동남구 봉명동","204-3","0204","0003","e편한세상봉명아너리움","전세","59.8035","202511","30","19,500","0","14","2020","쌍용대로 160","202512~202712","갱신","사용","19,000","0","아파트"
"10162","충청남도 천안시 동남구 청수동","183","0183","0000","극동2차","월세","84.8100","202511","30","2,000","70","3","1992","청수로 71-7","202512~202712","신규","-","","","아파트"
"10163","충청남도 아산시 음봉면 산동리","1068","1068","0000","해링턴플레이스스마트밸리","전세","84.8309","202511","30","24,500","0","16","2023","산동희망로 17","202603~202803","신규","-","","","아파트"
"10164","충청남도 아산시 음봉면 산동리","1068","1068","0000","해링턴플레이스스마트밸리","전세","84.8309","202511","30","27,000","0","16","2023","산동희망로 17","202601~202801","신규","-","","","아파트"
"10165","충청남도 아산시 배방읍 장재리","1348","1348","0000","아산배방행복주택","월세","36.1400","202511","30","5,311","8","6","2018","공원로 69","202512~202711","갱신","-","5,209","8","아파트"
"10166","충청남도 아산시 배방읍 세교리","424-9","0424","0009","신라","전세","39.6000","202511","30","5,500","0","15","1997","온천대로 2358","202512~202712","신규","-","","","아파트"
"10167","충청남도 아산시 탕정면 매곡리","1385","1385","0000","한들물빛도시신영지웰시티센트럴푸르지오1단지","전세","84.8150","202511","30","45,000","0","24","2022","한들물빛도시로 69","202602~202802","신규","-","","","아파트"
"10168","충청남도 아산시 탕정면 매곡리","1387","1387","0000","신영한들물빛도시지웰시티센트럴푸르지오3단지","전세","97.7172","202511","30","52,000","0","34","2022","한들물빛5로 36","202603~202803","신규","-","","","아파트"
"10169","충청남도 아산시 탕정면 매곡리","1393","1393","0000","한들물빛도시시티프라디움","월세","84.9774","202511","30","5,000","150","11","2021","한들물빛3로 36","202512~202712","신규","-","","","아파트"
"10170","충청남도 아산시 탕정면 매곡리","1393","1393","0000","한들물빛도시시티프라디움","전세","84.9893","202511","30","38,500","0","13","2021","한들물빛3로 36","202601~202801","갱신","사용","37,000","0","아파트"
"10171","충청남도 아산시 탕정면 매곡리","1385","1385","0000","한들물빛도시신영지웰시티센트럴푸르지오1단지","전세","68.9239","202511","30","35,000","0","1","2022","한들물빛도시로 69","202601~202801","신규","-","","","아파트"
"10172","충청남도 아산시 탕정면 매곡리","1385","1385","0000","한들물빛도시신영지웰시티센트럴푸르지오1단지","전세","84.8150","202511","30","45,000","0","24","2022","한들물빛도시로 69","202602~202802","신규","-","","","아파트"
"10173","충청남도 천안시 동남구 신부동","1004","1004","0000","더샵신부센트라","월세","84.9319","202511","30","8,000","80","15","2025","북일로 85","202512~202712","신규","-","","","아파트"
"10174","충청남도 아산시 모종동","734","0734","0000","모종2차삼일파라뷰센트럴","전세","59.5604","202511","30","22,050","0","6","2022","모종북로 22","202601~203010","신규","-","","","아파트"
"10175","충청남도 천안시 동남구 신부동","970","0970","0000","방죽안휴먼시아","월세","51.6900","202511","30","2,000","67","14","2009","천안천8길 45","202601~202801","신규","-","","","아파트"
"10176","충청남도 아산시 모종동","562-1","0562","0001","모종리슈빌더스카이","월세","59.7300","202511","30","2,000","75","2","2024","번영로196번길 5","202511~202711","신규","-","","","아파트"
"10177","충청남도 논산시 강산동","643","0643","0000","부영","월세","48.6000","202511","30","500","40","4","1996","시민로307번길 28","202511~202611","신규","-","","","아파트"
"10178","충청남도 아산시 법곡동","333","0333","0000","법곡동KD아람채","월세","45.0558","202511","30","500","55","10","2016","법곡길 10","202601~202801","신규","-","","","아파트"
"10179","충청남도 당진시 시곡동","120-9","0120","0009","현대그린","월세","59.9700","202511","30","1,500","35","3","1996","서해로 6258-8","202512~202712","신규","-","","","아파트"
"10180","충청남도 서산시 죽성동","74-1","0074","0001","삼성1차","전세","84.9300","202511","30","8,000","0","14","1993","남부순환로 767","202511~202711","갱신","사용","8,000","0","아파트"
"10181","충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","월세","32.5800","202511","30","500","37","2","2015","서금암로 10","202512~202612","갱신","사용","500","35","아파트"
"10182","충청남도 아산시 권곡동","627","0627","0000","아산한신더휴","전세","84.9700","202511","30","19,000","0","7","2025","문화로 257-45","202601~202801","신규","-","","","아파트"
"10183","충청남도 천안시 동남구 안서동","304-1","0304","0001","동보스타빌","월세","24.1800","202511","30","200","40","7","1996","각원사길 59-5","202602~202701","신규","-","","","아파트"
"10184","충청남도 공주시 신관동","336-9","0336","0009","덕성그린시티빌","전세","35.8560","202511","30","5,000","0","13","1999","관골2길 24-5","202512~202901","신규","-","","","아파트"
"10185","충청남도 공주시 신관동","255-3","0255","0003","주공1","월세","49.2200","202511","30","1,000","40","3","1985","번영1로 77-8","202511~202711","신규","-","","","아파트"
"10186","충청남도 아산시 권곡동","627","0627","0000","아산한신더휴","월세","84.9700","202511","30","3,000","90","4","2025","문화로 257-45","202601~202701","신규","-","","","아파트"
"10187","충청남도 아산시 권곡동","627","0627","0000","아산한신더휴","월세","84.9100","202511","30","5,000","60","16","2025","문화로 257-45","202602~202802","신규","-","","","아파트"
"10188","충청남도 당진시 읍내동","299-81","0299","0081","세원","월세","83.7900","202511","30","1,000","40","5","1990","계성3길 20-27","202601~202801","신규","-","","","아파트"
"10189","충청남도 공주시 금흥동","259","0259","0000","새뜸현대4","월세","84.9500","202511","30","3,000","75","19","1999","신금1길 98","202512~202612","신규","-","","","아파트"
"10190","충청남도 아산시 실옥동","169-3","0169","0003","벽산","월세","59.8200","202511","29","500","50","6","1996","문화로 33-10","202512~202712","신규","-","","","아파트"
"10191","충청남도 아산시 모종동","847","0847","0000","모종금호어울림아이퍼스트","전세","59.9256","202511","29","21,000","0","6","2022","삼동로16번길 52","202602~202804","신규","-","","","아파트"
"10192","충청남도 공주시 금흥동","628","0628","0000","공주월송흥화하브","월세","84.8963","202511","29","3,000","90","5","2018","무령로 599-40","202602~202802","신규","-","","","아파트"
"10193","충청남도 공주시 금흥동","628","0628","0000","공주월송흥화하브","월세","84.8963","202511","29","3,000","90","5","2018","무령로 599-40","202602~202802","신규","-","","","아파트"
"10194","충청남도 아산시 풍기동","229-71","0229","0071","주은","월세","39.7800","202511","29","1,000","47","2","2000","어의정로183번길 14","202512~202712","갱신","사용","1,000","45","아파트"
"10195","충청남도 논산시 화지동","16","0016","0000","조흥","월세","59.6570","202511","29","1,000","70","3","2002","해월로259번길 14","-","-","-","","","아파트"
"10196","충청남도 논산시 화지동","16","0016","0000","조흥","월세","59.6570","202511","29","1,000","70","3","2002","해월로259번길 14","202512~202712","신규","-","","","아파트"
"10197","충청남도 천안시 동남구 신부동","986","0986","0000","신부 디 이스트","전세","74.9500","202511","29","24,000","0","7","2018","신부8길 21","202601~202801","신규","-","","","아파트"
"10198","충청남도 천안시 동남구 신부동","999","0999","0000","포레나천안신부","전세","113.2933","202511","29","40,000","0","14","2023","천안대로 888","202602~202802","신규","-","","","아파트"
"10199","충청남도 아산시 득산동","392-2","0392","0002","부영","월세","49.9200","202511","29","500","55","5","1998","온천대로 1105-17","202511~202711","신규","-","","","아파트"
"10200","충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","전세","59.9700","202511","29","12,000","0","10","2005","장안1길 9","202601~202801","신규","-","","","아파트"
"10201","충청남도 보령시 동대동","1979","1979","0000","동대센트럴파크","월세","62.9845","202511","29","2,000","85","12","2017","한내로터리길 165","202512~202712","신규","-","","","아파트"
"10202","충청남도 서산시 수석동","790-66","0790","0066","동남2","월세","52.8900","202511","29","500","25","6","1994","한성지3로 28","202512~202612","신규","-","","","아파트"
"10203","충청남도 당진시 수청동","2199","2199","0000","하이앤","월세","84.9304","202511","29","27,214","4","27","2024","수청3로 49","-","-","-","","","아파트"
"10204","충청남도 당진시 수청동","1844","1844","0000","당진센트레빌르네블루1차","전세","99.9861","202511","29","35,000","0","15","2023","수청중앙로 85","202602~202802","신규","-","","","아파트"
"10205","충청남도 당진시 수청동","1844","1844","0000","당진센트레빌르네블루1차","전세","84.9699","202511","29","24,000","0","22","2023","수청중앙로 85","202601~202801","갱신","사용","23,000","0","아파트"
"10206","충청남도 당진시 수청동","1551","1551","0000","호반써밋시그니처Ⅰ","전세","84.8451","202511","29","23,000","0","3","2022","수청3로 20","202512~202712","갱신","사용","22,000","0","아파트"
"10207","충청남도 천안시 동남구 신부동","970","0970","0000","방죽안휴먼시아","전세","84.7700","202511","29","28,000","0","9","2009","천안천8길 45","202601~202802","신규","-","","","아파트"
"10208","충청남도 천안시 동남구 신부동","1004","1004","0000","더샵신부센트라","월세","84.9526","202511","29","7,000","90","9","2025","북일로 85","202512~202712","신규","-","","","아파트"
"10209","충청남도 천안시 동남구 신부동","999","0999","0000","포레나천안신부","전세","104.4971","202511","29","39,000","0","2","2023","천안대로 888","202601~202801","신규","-","","","아파트"
"10210","충청남도 당진시 수청동","1844","1844","0000","당진센트레빌르네블루1차","전세","84.9699","202511","29","24,150","0","6","2023","수청중앙로 85","202601~202801","갱신","사용","23,000","0","아파트"
"10211","충청남도 아산시 권곡동","607","0607","0000","아산권곡주공","월세","59.6400","202511","29","1,000","60","8","2003","박물관로 13","202512~202712","신규","-","","","아파트"
"10212","충청남도 아산시 권곡동","627","0627","0000","아산한신더휴","월세","84.9700","202511","29","3,000","80","3","2025","문화로 257-45","202512~202712","신규","-","","","아파트"
"10213","충청남도 아산시 권곡동","627","0627","0000","아산한신더휴","월세","84.9000","202511","29","2,000","100","16","2025","문화로 257-45","202601~202801","신규","-","","","아파트"
"10214","충청남도 아산시 권곡동","205-1","0205","0001","청솔","월세","58.2000","202511","29","1,000","45","13","2002","문화로 257-17","202601~202801","신규","-","","","아파트"
"10215","충청남도 아산시 좌부동","84-3","0084","0003","초원설화타운1","전세","39.7800","202511","29","3,000","0","4","1994","고불로 667","202512~202712","신규","-","","","아파트"
"10216","충청남도 서산시 석림동","463-1","0463","0001","석림주공2단지","월세","58.1400","202511","29","2,000","40","7","1996","석림4로 83","202512~202712","신규","-","","","아파트"
"10217","충청남도 천안시 동남구 다가동","444-3","0444","0003","일봉공원한화꿈에그린","전세","84.9600","202511","29","15,000","0","10","2006","다가말2길 54","202601~202801","신규","-","","","아파트"
"10218","충청남도 아산시 온천동","74-5","0074","0005","모노팰리스","월세","31.7800","202511","29","500","45","11","2014","온천대로 1555","202511~202611","신규","-","","","아파트"
"10219","충청남도 아산시 온천동","1928","1928","0000","아산반도유보라","월세","59.9734","202511","29","2,000","70","13","2016","아산로 116-21","202601~202801","신규","-","","","아파트"
"10220","충청남도 천안시 동남구 쌍용동","558-6","0558","0006","대우장미","월세","41.5450","202511","29","500","55","1","1991","봉명1길 1","202602~202802","신규","-","","","아파트"
"10221","충청남도 당진시 읍내동","1451","1451","0000","당진1차푸르지오","전세","84.9475","202511","29","18,900","0","6","2011","북문로 15","202602~202802","갱신","사용","18,000","0","아파트"
"10222","충청남도 천안시 동남구 안서동","304-1","0304","0001","동보스타빌","전세","24.1800","202511","29","4,500","0","6","1996","각원사길 59-5","202602~202801","신규","-","","","아파트"
