"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"18862","전북특별자치도 전주시 덕진구 반월동","1230","1230","0000","월드컵이지움","전세","59.8796","202504","30","16,000","0","9","2015","반월로 32","202504~202704","갱신","-","15,000","0","아파트"
"18863","전북특별자치도 전주시 덕진구 송천동2가","1304","1304","0000","에코시티더샵3차","월세","59.8200","202504","30","20,000","33","8","2019","세병로 136","202505~202704","갱신","사용","22,000","19","아파트"
"18864","전북특별자치도 전주시 덕진구 송천동2가","1268","1268","0000","송천주공","전세","59.9900","202504","30","12,600","0","5","1998","붓내3길 29","202505~202705","갱신","사용","12,000","0","아파트"
"18865","전북특별자치도 군산시 미장동","484","0484","0000","군산미장2차아이파크","전세","74.9925","202504","30","22,500","0","1","2017","미장안길 45","202505~202705","신규","-","","","아파트"
"18866","전북특별자치도 전주시 덕진구 반월동","1236","1236","0000","전주반월2엘에이치아파트","월세","26.8200","202504","30","1,771","7","8","2019","혁신로 665","202410~202611","갱신","-","971","11","아파트"
"18867","전북특별자치도 전주시 덕진구 송천동2가","1268","1268","0000","송천주공","월세","59.9900","202504","30","1,500","75","14","1998","붓내3길 29","202505~202705","신규","-","","","아파트"
"18868","전북특별자치도 전주시 완산구 평화동2가","567","0567","0000","동신","월세","84.7800","202504","30","3,000","55","4","1998","양지2길 10","202506~202706","신규","-","","","아파트"
"18869","전북특별자치도 전주시 완산구 평화동2가","292","0292","0000","전주평화주공5단지","월세","58.1400","202504","30","1,000","40","14","1995","모악로 4724","202505~202704","갱신","-","1,000","40","아파트"
"18870","전북특별자치도 전주시 덕진구 송천동2가","1268","1268","0000","송천주공","전세","84.9000","202504","30","20,000","0","9","1998","붓내3길 29","202505~202705","신규","-","","","아파트"
"18871","전북특별자치도 익산시 마동","434","0434","0000","익산자이그랜드파크","월세","84.9132","202504","30","5,000","110","31","2025","선화1로 76","202505~202705","신규","-","","","아파트"
"18872","전북특별자치도 군산시 대명동","403","0403","0000","현대메트로타워2차","전세","84.9648","202504","30","18,000","0","19","2016","구암3.1로 30","202506~202706","신규","-","","","아파트"
"18873","전북특별자치도 익산시 평화동","395","0395","0000","익산역하늘채더퍼스트","월세","59.6900","202504","30","9,704","17","24","2025","익산대로8길 9","202504~202705","신규","-","","","아파트"
"18874","전북특별자치도 익산시 평화동","395","0395","0000","익산역하늘채더퍼스트","월세","59.7000","202504","30","9,704","17","1","2025","익산대로8길 9","202503~202705","갱신","-","4,704","42","아파트"
"18875","전북특별자치도 군산시 금암동","309","0309","0000","군산레비뉴스테이","월세","59.9399","202504","30","13,000","3","32","2020","대명4길 9","202504~202704","신규","-","","","아파트"
"18876","전북특별자치도 익산시 평화동","395","0395","0000","익산역하늘채더퍼스트","월세","59.9500","202504","30","9,678","17","25","2025","익산대로8길 9","202503~202705","갱신","-","4,678","42","아파트"
"18877","전북특별자치도 익산시 평화동","395","0395","0000","익산역하늘채더퍼스트","월세","59.7000","202504","30","9,704","17","9","2025","익산대로8길 9","202503~202705","갱신","-","4,704","42","아파트"
"18878","전북특별자치도 전주시 덕진구 장동","1064","1064","0000","전주혁신중흥에스클래스","전세","115.1145","202504","30","50,000","0","15","2016","틀못3길 16","202508~202708","신규","-","","","아파트"
"18879","전북특별자치도 전주시 덕진구 호성동1가","900","0900","0000","호성주공1차","월세","39.7400","202504","30","1,000","32","9","1997","소리로 179","202505~202705","신규","-","","","아파트"
"18880","전북특별자치도 군산시 산북동","3644","3644","0000","하나리움시티","월세","59.9896","202504","30","1,500","50","7","2014","칠성7길 56","202506~202706","신규","-","","","아파트"
"18881","전북특별자치도 군산시 산북동","3540","3540","0000","금강맨션아파트","월세","76.8000","202504","30","5,200","12","4","1989","소룡길 86-5","-","-","-","","","아파트"
"18882","전북특별자치도 전주시 완산구 서신동","23-40","0023","0040","우신8,9동","월세","51.8400","202504","30","500","40","1","1987","잿뜸1길 8","202505~202705","신규","-","","","아파트"
"18883","전북특별자치도 군산시 대명동","385-60","0385","0060","현대메트로타워","전세","76.2648","202504","30","13,500","0","24","2011","대명길 3","202505~202705","신규","-","","","아파트"
"18884","전북특별자치도 익산시 마동","165","0165","0000","마동1단지","월세","37.7900","202504","30","100","15","4","1980","고봉로 144","202504~202704","신규","-","","","아파트"
"18885","전북특별자치도 전주시 덕진구 송천동2가","1268","1268","0000","송천주공","전세","59.9900","202504","30","11,500","0","3","1998","붓내3길 29","202505~202705","갱신","사용","11,500","0","아파트"
"18886","전북특별자치도 익산시 마동","434","0434","0000","익산자이그랜드파크","월세","84.7505","202504","30","3,000","140","6","2025","선화1로 76","202506~202706","신규","-","","","아파트"
"18887","전북특별자치도 익산시 인화동2가","109-2","0109","0002","익산인화행복주택","월세","26.6500","202504","30","2,273","9","14","2017","목천로 320","202502~202703","갱신","-","1,973","11","아파트"
"18888","전북특별자치도 전주시 완산구 삼천동1가","723-2","0723","0002","신일강변","전세","59.9800","202504","30","13,500","0","7","1997","강변로 98","202506~202706","신규","-","","","아파트"
"18889","전북특별자치도 전주시 완산구 삼천동1가","723-2","0723","0002","신일강변","전세","59.9800","202504","30","16,000","0","5","1997","강변로 98","202505~202705","갱신","-","15,000","0","아파트"
"18890","전북특별자치도 전주시 완산구 삼천동1가","585-2","0585","0002","쌍용2단지","월세","59.8500","202504","30","1,000","37","2","1987","성지산로 36","202505~202705","신규","-","","","아파트"
"18891","전북특별자치도 군산시 오식도동","806-3","0806","0003","한성필하우스","월세","35.4192","202504","30","500","45","7","2012","요죽길 76","202505~202605","신규","-","","","아파트"
