"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"13261","부산광역시 강서구 명지동","3234","3234","0000","명지두산위브포세이돈","전세","84.9791","202511","30","22,000","0","6","2013","명지오션시티11로 22","202601~202801","신규","-","","","아파트"
"13262","부산광역시 사하구 구평동","518","0518","0000","e편한세상사하2차","전세","84.6031","202511","30","24,000","0","16","2017","서포로30번길 12","202601~202801","신규","-","","","아파트"
"13263","부산광역시 강서구 명지동","3234","3234","0000","명지두산위브포세이돈","전세","84.9838","202511","30","25,000","0","8","2013","명지오션시티11로 22","202601~202801","신규","-","","","아파트"
"13264","부산광역시 사하구 다대동","1624","1624","0000","다대동롯데캐슬몰운대","월세","84.9902","202511","30","2,000","80","7","2007","다대낙조2길 100","202511~202611","신규","-","","","아파트"
"13265","부산광역시 강서구 명지동","3244","3244","0000","롯데캐슬","전세","84.9300","202511","30","24,000","0","10","2008","명지오션시티11로 84","202601~202801","신규","-","","","아파트"
"13266","부산광역시 강서구 강동동","가-","0000","0000","에코델타시티푸르지오린","전세","84.9061","202511","30","24,000","0","5","2025","에코델타3로 43","202602~202802","신규","-","","","아파트"
"13267","부산광역시 연제구 거제동","1530","1530","0000","쌍용더플래티넘거제아시아드","전세","84.8050","202511","30","50,000","0","13","2023","아시아드대로 7","202602~202802","신규","-","","","아파트"
"13268","부산광역시 연제구 거제동","1180-1","1180","0001","화인상아","월세","73.8000","202511","30","1,000","55","1","1985","아시아드대로46번길 46","202512~202712","신규","-","","","아파트"
"13269","부산광역시 금정구 장전동","752","0752","0000","래미안포레스티지1단지(장전동)","전세","84.9849","202511","30","50,000","0","1","2024","식물원로75번길 20","202602~202802","신규","-","","","아파트"
"13270","부산광역시 강서구 명지동","3234","3234","0000","명지두산위브포세이돈","전세","84.9791","202511","30","22,000","0","6","2013","명지오션시티11로 22","202601~202802","신규","-","","","아파트"
"13271","부산광역시 남구 문현동","1255","1255","0000","오션파라곤아파트","월세","59.5155","202511","30","3,000","85","3","2022","우암로 300","202512~202612","신규","-","","","아파트"
"13272","부산광역시 동래구 온천동","172-35","0172","0035","협성스카이라인80","월세","27.7400","202511","30","500","40","12","2004","중앙대로1473번길 14-12","202512~202611","신규","-","","","아파트"
"13273","부산광역시 동래구 안락동","465-1","0465","0001","한우","월세","45.8900","202511","30","2,000","35","3","1983","충렬대로457번길 72","202512~202712","신규","-","","","아파트"
"13274","부산광역시 동래구 낙민동","172","0172","0000","한양","전세","82.9100","202511","30","16,000","0","6","1980","충렬대로 314","202601~202801","신규","-","","","아파트"
"13275","부산광역시 북구 화명동","2274-4","2274","0004","엘가","월세","30.9540","202511","30","1,000","60","16","2014","금곡대로285번길 94","202511~202611","신규","-","","","아파트"
"13276","부산광역시 북구 화명동","2324","2324","0000","화명롯데캐슬카이저","전세","131.0500","202511","30","47,000","0","30","2012","금곡대로 166","202511~202711","갱신","사용","45,000","0","아파트"
"13277","부산광역시 동래구 온천동","1853","1853","0000","동래래미안아이파크","전세","59.9865","202511","30","35,000","0","9","2022","금정마을로 147","202602~202802","신규","-","","","아파트"
"13278","부산광역시 동래구 명장동","136-9","0136","0009","아이뷰파크","월세","58.3975","202511","30","8,000","40","12","2021","명안로78번길 25","202601~202801","신규","-","","","아파트"
"13279","부산광역시 동래구 사직동","1017","1017","0000","사직쌍용예가","월세","84.9650","202511","30","27,000","30","15","2006","사직로 80","202602~202802","갱신","-","27,000","20","아파트"
"13280","부산광역시 남구 대연동","649","0649","0000","삼성","월세","59.8200","202511","30","3,000","60","10","1996","신선로 490","202512~202712","신규","-","","","아파트"
"13281","부산광역시 남구 대연동","649","0649","0000","삼성","월세","59.8200","202511","30","3,000","60","10","1996","신선로 490","202601~202801","신규","-","","","아파트"
"13282","부산광역시 남구 대연동","967-1","0967","0001","대영(967-1)","전세","65.6900","202511","30","9,000","0","3","1976","석포로126번길 4","202512~202712","신규","-","","","아파트"
"13283","부산광역시 남구 문현동","1250","1250","0000","대연양우내안애퍼스트","전세","59.9015","202511","30","35,000","0","23","2022","수영로 117","202602~202802","신규","-","","","아파트"
"13284","부산광역시 동래구 온천동","1853","1853","0000","동래래미안아이파크","전세","84.9856","202511","30","47,000","0","3","2022","금정마을로 147","202602~202802","갱신","-","37,000","0","아파트"
"13285","부산광역시 기장군 일광읍 삼성리","794","0794","0000","일광한신더휴센트럴포레1단지","전세","59.8167","202511","30","23,000","0","6","2020","해빛1로 62","202601~202801","신규","-","","","아파트"
"13286","부산광역시 기장군 기장읍 내리","776","0776","0000","동부산동원로얄듀크","전세","84.7400","202511","30","18,000","0","1","2009","기장대로 67","202511~202611","갱신","사용","18,000","0","아파트"
"13287","부산광역시 기장군 기장읍 청강리","333","0333","0000","청강주공","월세","39.3000","202511","30","500","25","4","1990","청강로 6","202512~202712","신규","-","","","아파트"
"13288","부산광역시 수영구 남천동","148-4","0148","0004","삼익비치","월세","84.8300","202511","30","2,000","50","3","1979","광안해변로 100","202512~202712","신규","-","","","아파트"
"13289","부산광역시 연제구 연산동","2262","2262","0000","연산자이","월세","84.5157","202511","30","5,000","130","28","2010","과정로343번길 43","202602~202802","신규","-","","","아파트"
"13290","부산광역시 연제구 연산동","2220","2220","0000","주공","월세","84.1500","202511","30","1,000","55","14","1986","토현로 10","202601~202801","신규","-","","","아파트"
"13291","부산광역시 연제구 연산동","394","0394","0000","한양(2차)","월세","50.5800","202511","30","1,500","50","1","1984","온천천남로 110","202512~202712","신규","-","","","아파트"
"13292","부산광역시 연제구 연산동","388-1","0388","0001","한양(3차)","월세","57.2400","202511","30","5,000","38","12","1985","온천천남로 110","-","-","-","","","아파트"
"13293","부산광역시 수영구 광안동","1334","1334","0000","광안자이","전세","84.4800","202511","30","37,800","0","9","2020","호암로29번길 50","202512~202712","신규","-","","","아파트"
"13294","부산광역시 수영구 광안동","529","0529","0000","비치-그린아파트","전세","59.7600","202511","30","20,000","0","12","1996","광일로 49","202601~202801","신규","-","","","아파트"
"13295","부산광역시 수영구 광안동","529","0529","0000","비치-그린아파트","전세","84.9000","202511","30","26,500","0","6","1996","광일로 49","202512~202712","갱신","-","28,000","0","아파트"
"13296","부산광역시 연제구 연산동","2397","2397","0000","연제SKVIEWCentral","전세","78.1676","202511","30","34,650","0","34","2023","중앙천로 81-12","202511~202711","갱신","사용","33,000","0","아파트"
"13297","부산광역시 기장군 정관읍 모전리","681","0681","0000","정관엘에이치7단지","월세","26.8300","202511","30","2,454","8","2","2017","모전로 41","202512~202711","갱신","-","2,429","7","아파트"
"13298","부산광역시 사상구 괘법동","984","0984","0000","센트럴스타힐스","월세","59.9926","202511","30","5,000","90","25","2022","사상로223번길 23","202512~202712","신규","-","","","아파트"
"13299","부산광역시 사상구 괘법동","564-8","0564","0008","사상역포르투나더테라스","월세","21.5338","202511","30","500","50","3","2021","광장로 54","202511~202605","신규","-","","","아파트"
"13300","부산광역시 해운대구 재송동","1151-2","1151","0002","남성선파크","전세","56.7900","202511","30","7,500","0","1","1988","재송2로23번길 36","202601~202801","신규","-","","","아파트"
"13301","부산광역시 사하구 당리동","16-7","0016","0007","당리동1차동원베네스트","월세","84.7606","202511","30","3,000","60","6","2005","제석로 160","202601~202801","신규","-","","","아파트"
"13302","부산광역시 사하구 괴정동","1295","1295","0000","힐스테이트사하역","월세","84.9210","202511","30","5,000","140","14","2022","괴정로 166","202601~202801","신규","-","","","아파트"
"13303","부산광역시 북구 만덕동","944-6","0944","0006","만덕3단지주공","월세","59.6300","202511","30","4,696","11","5","2003","함박봉로140번길 21","202512~202711","신규","-","","","아파트"
"13304","부산광역시 북구 만덕동","963","0963","0000","백양산베스티움에코포레","전세","59.9950","202511","30","17,000","0","4","2022","상리로 86","202602~202802","신규","-","","","아파트"
"13305","부산광역시 사하구 하단동","1175","1175","0000","가락타운3","전세","84.9600","202511","30","22,000","0","3","1992","하신중앙로 265","202512~202712","갱신","-","24,000","0","아파트"
"13306","부산광역시 사하구 하단동","477-9","0477","0009","칠산주택조합","전세","47.9000","202511","30","9,000","0","3","1984","낙동대로549번길 6","202512~202712","신규","-","","","아파트"
"13307","부산광역시 해운대구 송정동","201-8","0201","0008","이담채","월세","49.9500","202511","30","2,000","55","5","2014","송정중앙로27번길 8","202512~202712","신규","-","","","아파트"
"13308","부산광역시 해운대구 좌동","1398","1398","0000","엘지","월세","49.8300","202511","30","2,000","58","5","1997","대천로103번길 61","202601~202901","갱신","사용","2,000","55","아파트"
"13309","부산광역시 해운대구 좌동","1448","1448","0000","경남선경","월세","59.8500","202511","30","2,000","75","2","1996","청사포로 27","202601~202801","신규","-","","","아파트"
"13310","부산광역시 해운대구 좌동","1419","1419","0000","롯데4","전세","59.6000","202511","30","18,000","0","4","1999","좌동순환로217번길 8","202512~202712","갱신","사용","18,000","0","아파트"
"13311","부산광역시 해운대구 좌동","1271","1271","0000","신성","전세","57.9000","202511","30","17,000","0","14","1996","대천로67번길 15","202601~202801","신규","-","","","아파트"
"13312","부산광역시 해운대구 중동","1818","1818","0000","해운대힐스테이트위브","월세","105.8829","202511","30","37,000","30","9","2015","좌동순환로433번길 30","202511~202711","갱신","사용","37,000","55","아파트"
"13313","부산광역시 사하구 장림동","372-4","0372","0004","장림현대(372-4)","월세","66.0300","202511","30","500","40","6","1990","다대로 301","202511~202711","신규","-","","","아파트"
"13314","부산광역시 해운대구 우동","1562","1562","0000","해운대센트럴푸르지오","월세","84.9964","202511","30","5,000","175","18","2023","해운대로 650","202512~202706","신규","-","","","아파트"
"13315","부산광역시 부산진구 부전동","679","0679","0000","서면롯데캐슬엘루체","전세","84.5932","202511","30","44,000","0","36","2023","신천대로126번길 42","202601~202711","신규","-","","","아파트"
"13316","부산광역시 동구 수정동","1352","1352","0000","협성휴포레부산진역오션뷰","월세","59.6687","202511","30","5,000","120","45","2019","중앙대로 357","202512~202712","신규","-","","","아파트"
"13317","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","전세","84.7288","202511","30","44,000","0","5","2021","동성로 50","202601~202801","신규","-","","","아파트"
"13318","부산광역시 부산진구 당감동","516","0516","0000","개금주공3단지","월세","41.3000","202511","30","500","40","10","1989","백양관문로 10","202512~202712","신규","-","","","아파트"
"13319","부산광역시 부산진구 당감동","794","0794","0000","백양푸른채","전세","59.9100","202511","30","12,000","0","7","1999","백양산로53번길 62","202511~202711","갱신","-","16,250","0","아파트"
"13320","부산광역시 부산진구 초읍동","676","0676","0000","포레나부산초읍","전세","72.9082","202511","30","31,000","0","10","2020","초연로 6","202601~202801","신규","-","","","아파트"
"13321","부산광역시 부산진구 범천동","1055-1","1055","0001","서면라이포레","전세","50.0095","202511","30","19,000","0","11","2017","신천대로165번길 10","202511~202705","갱신","-","19,000","0","아파트"
"13322","부산광역시 부산진구 범천동","865","0865","0000","서면유림노르웨이숲","월세","84.9563","202511","30","2,000","105","10","2014","신천대로 71","202512~202712","신규","-","","","아파트"
"13323","부산광역시 영도구 동삼동","1203","1203","0000","오션라이프에일린의뜰2단지","월세","84.9355","202511","30","3,000","120","17","2024","태종로 675","202512~202712","신규","-","","","아파트"
"13324","부산광역시 부산진구 연지동","172","0172","0000","일동대영","전세","83.7600","202511","30","7,000","0","14","1984","동평로229번길 5","202602~202802","신규","-","","","아파트"
"13325","부산광역시 부산진구 부암동","610-88","0610","0088","백양산서희스타힐스","월세","84.9897","202511","30","5,000","100","5","2025","백양산로 22","202512~202712","신규","-","","","아파트"
"13326","부산광역시 동구 초량동","1218","1218","0000","e편한세상부산항","전세","69.4800","202511","30","30,000","0","26","2019","홍곡로 50","-","-","-","","","아파트"
"13327","부산광역시 동구 초량동","1218","1218","0000","e편한세상부산항","전세","69.4800","202511","30","30,000","0","26","2019","홍곡로 50","202512~202712","갱신","사용","29,000","0","아파트"
"13328","부산광역시 부산진구 범천동","1589-27","1589","0027","탑패밀리","월세","27.2600","202511","29","500","40","5","2004","신천대로 167","202511~202611","신규","-","","","아파트"
"13329","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스하버시티","전세","84.6314","202511","29","40,000","0","35","2023","범일로 21","202602~202802","신규","-","","","아파트"
"13330","부산광역시 부산진구 연지동","72-4","0072","0004","덕인디오네빌","전세","28.0000","202511","29","2,000","0","5","2002","성지로 8","202512~202712","신규","-","","","아파트"
"13331","부산광역시 부산진구 연지동","415","0415","0000","래미안어반파크1단지","월세","59.7600","202511","29","5,000","120","33","2022","성지로 37","202601~202801","신규","-","","","아파트"
"13332","부산광역시 부산진구 연지동","198-1","0198","0001","로얄","전세","84.9000","202511","29","18,000","0","3","1986","국악로 5","202601~202801","신규","-","","","아파트"
"13333","부산광역시 부산진구 연지동","192-9","0192","0009","연지동삼정그린코아","전세","75.4577","202511","29","21,000","0","10","2016","동평로235번길 19","202601~202801","갱신","사용","20,000","0","아파트"
"13334","부산광역시 부산진구 양정동","458-5","0458","0005","현대1차","월세","42.6300","202511","29","1,000","55","25","1997","동평로 352","202512~202712","신규","-","","","아파트"
