"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"9940","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","월세","57.7554","202509","30","5,682","29","18","2014","2산단로 125","-","-","-","","","아파트"
"9941","충청북도 청주시 상당구 문화동","118","0118","0000","문화동센트럴칸타빌","월세","84.9662","202509","30","3,000","120","11","2018","용담로 7","202510~202710","신규","-","","","아파트"
"9942","충청북도 청주시 흥덕구 오송읍 만수리","549","0549","0000","오송경남아너스빌","전세","84.9400","202509","30","25,000","0","12","2009","오송생명5로 201","202509~202709","신규","-","","","아파트"
"9943","충청북도 청주시 흥덕구 오송읍 만수리","549","0549","0000","오송경남아너스빌","전세","84.9100","202509","30","21,000","0","3","2009","오송생명5로 201","202510~202710","신규","-","","","아파트"
"9944","충청북도 청주시 상당구 영운동","52-3","0052","0003","삼진화랑","월세","59.9900","202509","30","1,000","40","5","1994","영운천로83번길 25","202509~202709","갱신","-","1,000","40","아파트"
"9945","충청북도 청주시 상당구 영운동","222","0222","0000","파모스라움아파트","월세","59.4320","202509","30","1,000","70","22","2018","수영로 180","202509~202609","신규","-","","","아파트"
"9946","충청북도 청주시 청원구 오창읍 양청리","810-2","0810","0002","오창롯데캐슬더하이스트","전세","84.9749","202509","30","30,000","0","14","2018","중부로 760","202511~202711","신규","-","","","아파트"
"9947","충청북도 청주시 청원구 오창읍 양청리","810-2","0810","0002","오창롯데캐슬더하이스트","전세","84.9505","202509","30","30,000","0","26","2018","중부로 760","202511~202711","신규","-","","","아파트"
"9948","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","월세","57.7554","202509","30","5,587","28","1","2014","2산단4로 60","202510~202610","신규","-","","","아파트"
"9949","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","전세","57.7554","202509","30","12,357","0","7","2014","2산단4로 60","202510~202610","갱신","-","12,199","0","아파트"
"9950","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","월세","57.7554","202509","30","5,587","28","7","2014","2산단4로 60","202511~202611","갱신","-","5,516","28","아파트"
"9951","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","월세","57.7554","202509","30","5,587","28","1","2014","2산단4로 60","202510~202610","갱신","-","5,516","28","아파트"
"9952","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202509","30","16,014","0","7","2015","2산단로 151","202510~202610","갱신","-","16,014","0","아파트"
"9953","충청북도 청주시 상당구 용암동","2542","2542","0000","중흥마을부영(2542-0)","전세","59.9870","202509","30","14,200","0","4","2003","중흥로 173","202509~202709","갱신","-","14,200","0","아파트"
"9954","충청북도 청주시 상당구 용암동","3145","3145","0000","청주동남1단지","월세","37.7800","202509","30","756","23","3","2020","호미로 137","202510~202709","갱신","-","1,868","18","아파트"
