"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"19342","강원특별자치도 고성군 간성읍 신안리","111","0111","0000","고성삼익레스타운","월세","59.6800","202505","31","1,000","50","6","1998","남천마루2길 6","202506~202706","신규","-","","","아파트"
"19343","강원특별자치도 고성군 토성면 봉포리","384","0384","0000","고성봉포코아루오션비치","월세","63.5467","202505","31","1,500","90","20","2021","학사촌길 91-7","202507~202707","신규","-","","","아파트"
"19344","강원특별자치도 홍천군 홍천읍 갈마곡리","200","0200","0000","주공1차","전세","49.7100","202505","31","10,000","0","15","2001","갈마로 14","202506~202706","신규","-","","","아파트"
"19345","강원특별자치도 원주시 판부면 서곡리","592","0592","0000","거장2차아파트","전세","27.3600","202505","31","4,000","0","6","2002","남원로 223","202505~202705","갱신","사용","4,000","0","아파트"
"19346","강원특별자치도 횡성군 횡성읍 교항리","67","0067","0000","횡성코아루센트럴퍼스트","전세","84.8869","202505","31","24,000","0","12","2018","앞들서1로 62","202507~202907","신규","-","","","아파트"
"19347","강원특별자치도 동해시 발한동","801","0801","0000","현대비에스앤씨현대썬앤빌동해파크힐","전세","68.7256","202505","31","20,000","0","11","2018","지리골길 31","202508~202708","신규","-","","","아파트"
"19348","강원특별자치도 속초시 조양동","1294-23","1294","0023","성호","월세","59.7600","202505","31","1,000","60","9","2001","청대로 8","202506~202706","신규","-","","","아파트"
"19349","강원특별자치도 속초시 동명동","599","0599","0000","속초롯데캐슬인더스카이","전세","84.9800","202505","31","30,000","0","5","2023","수복로 235","202506~202706","갱신","사용","29,000","0","아파트"
"19350","강원특별자치도 속초시 조양동","1499","1499","0000","부영3","전세","59.9050","202505","31","13,800","0","10","1996","소평로 162","202508~202708","신규","-","","","아파트"
"19351","강원특별자치도 강릉시 유천동","778","0778","0000","엘에이치선수촌8단지","월세","84.7700","202505","31","2,000","120","13","2018","선수촌로 113","202507~202707","신규","-","","","아파트"
"19352","강원특별자치도 동해시 천곡동","1111","1111","0000","천곡금호어울림라포레","월세","84.9481","202505","31","5,000","80","14","2020","항골길 65","202508~202708","신규","-","","","아파트"
"19353","강원특별자치도 원주시 지정면 가곡리","1512","1512","0000","원주롯데캐슬골드파크1차(5단지)","월세","84.9644","202505","31","2,000","100","2","2019","신지정로 250","202506~202511","신규","-","","","아파트"
"19354","강원특별자치도 원주시 지정면 가곡리","1537","1537","0000","원주롯데캐슬더퍼스트1차","전세","59.9479","202505","31","18,200","0","8","2018","가곡로 50","202507~202707","신규","-","","","아파트"
