"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"4232","대구광역시 달서구 송현동","1911","1911","0000","월성","월세","42.0800","202512","31","300","30","3","1981","송현로16길 43","202512~202712","신규","-","","","아파트"
"4233","대구광역시 달서구 감삼동","521","0521","0000","우방드림시티","전세","53.0660","202512","31","17,000","0","12","2003","장기로 242","202603~202803","신규","-","","","아파트"
"4234","대구광역시 달성군 다사읍 서재리","1125","1125","0000","에코폴리스동화아이위시2차","월세","63.8913","202512","31","2,000","63","6","2016","서재로7길 23","202601~202801","신규","-","","","아파트"
"4235","대구광역시 달성군 다사읍 서재리","1125","1125","0000","에코폴리스동화아이위시2차","월세","63.8913","202512","31","2,000","63","6","2016","서재로7길 23","202601~202801","신규","-","","","아파트"
"4236","대구광역시 달서구 진천동","595","0595","0000","트윈팰리스","월세","84.1500","202512","31","2,000","100","6","2006","월배로 71","202602~202802","신규","-","","","아파트"
"4237","대구광역시 중구 대봉동","60-10","0060","0010","센트로팰리스","월세","80.7060","202512","31","2,000","120","3","2007","대봉로 260","202602~202802","신규","-","","","아파트"
"4238","대구광역시 달서구 유천동","597","0597","0000","진천역AK그랑폴리스","전세","84.9195","202512","31","30,000","0","5","2013","월배로11길 33","202601~202702","갱신","사용","29,000","0","아파트"
"4239","대구광역시 수성구 노변동","353","0353","0000","수성월드메르디앙","전세","84.8075","202512","31","30,000","0","11","2007","노변로 55","202602~202802","신규","-","","","아파트"
"4240","대구광역시 수성구 노변동","353","0353","0000","수성월드메르디앙","전세","84.8075","202512","31","30,000","0","11","2007","노변로 55","202602~202802","신규","-","","","아파트"
"4241","대구광역시 달서구 본리동","193-3","0193","0003","본리롯데캐슬","월세","84.7916","202512","31","2,000","75","5","2008","대명천로 101","202512~202712","신규","-","","","아파트"
"4242","대구광역시 수성구 노변동","742","0742","0000","수성알파시티청아람","월세","59.9949","202512","31","2,000","95","11","2021","알파시티2로 96","202602~202802","신규","-","","","아파트"
"4243","대구광역시 달서구 대곡동","1098","1098","0000","대구대곡엘에이치천년나무1단지","월세","21.7100","202512","31","2,380","6","17","2019","갈밭로 33","202602~202801","갱신","-","1,825","9","아파트"
"4244","대구광역시 달성군 화원읍 설화리","1150","1150","0000","화원신일해피트리꿈의숲","전세","69.2948","202512","31","19,500","0","5","2022","명천로 383","202512~202712","신규","-","","","아파트"
"4245","대구광역시 달성군 현풍읍 대리","1176","1176","0000","국가산단서한이다음아파트","월세","84.5900","202512","31","4,565","28","8","2019","국가산단대로70길 41","202601~202801","신규","-","","","아파트"
"4246","대구광역시 달성군 다사읍 매곡리","1537","1537","0000","대실역청아람1단지","월세","59.9748","202512","31","2,000","70","10","2008","대실역북로 38","202602~202802","신규","-","","","아파트"
"4247","대구광역시 달서구 상인동","1474-1","1474","0001","보성산호","월세","66.5700","202512","31","1,000","45","4","1989","상화북로 159","202602~202802","신규","-","","","아파트"
"4248","대구광역시 달서구 상인동","1598","1598","0000","상인푸르지오","전세","59.6990","202512","31","20,000","0","2","2010","상화로 235","202601~202801","신규","-","","","아파트"
"4249","대구광역시 달서구 상인동","1516","1516","0000","우방타운","월세","134.9550","202512","31","2,000","100","12","1993","상인서로 65","202601~202801","신규","-","","","아파트"
"4250","대구광역시 달서구 상인동","1600","1600","0000","상인역모아엘가파크뷰","전세","59.9800","202512","31","15,792","0","17","2019","상화북로 162","202601~202712","갱신","-","15,040","0","아파트"
"4251","대구광역시 달성군 다사읍 세천리","1566-1","1566","0001","다사세천한라비발디","월세","84.1450","202512","31","2,000","80","31","2016","세천로 187","202602~202802","신규","-","","","아파트"
"4252","대구광역시 달서구 월성동","1894","1894","0000","월성삼정그린코아에듀파크","전세","84.6758","202512","31","34,000","0","27","2022","월성로 100","202603~202803","신규","-","","","아파트"
"4253","대구광역시 달서구 감삼동","287-57","0287","0057","성당코오롱하늘채","월세","84.9982","202512","31","2,000","75","3","2007","장기로 160","202602~202802","신규","-","","","아파트"
"4254","대구광역시 달서구 감삼동","714","0714","0000","죽전역해링턴플레이스더베스트","월세","84.9658","202512","31","2,000","120","43","2024","와룡로33길 20","202601~202706","신규","-","","","아파트"
"4255","대구광역시 달서구 본동","247","0247","0000","그린맨션2차","월세","84.8700","202512","31","2,000","70","9","1986","구마로36길 20","202512~202712","갱신","-","3,000","55","아파트"
"4256","대구광역시 달서구 본동","1207","1207","0000","빌리브라디체","전세","105.9147","202512","31","35,000","0","23","2025","구마로 100","202603~202803","신규","-","","","아파트"
"4257","대구광역시 수성구 수성동4가","1090-6","1090","0006","수성보성","월세","49.2100","202512","31","1,000","66","15","1996","수성로 412","202602~202802","신규","-","","","아파트"
"4258","대구광역시 수성구 수성동4가","1115-16","1115","0016","대림이편한세상","전세","109.9418","202512","31","35,000","0","18","2005","들안로73길 50-7","202601~202801","신규","-","","","아파트"
"4259","대구광역시 수성구 수성동1가","112-7","0112","0007","수성그린타운","월세","84.9287","202512","31","2,000","110","10","2005","달구벌대로458길 17","202602~202801","신규","-","","","아파트"
"4260","대구광역시 수성구 범어동","177-3","0177","0003","마크팰리스범어","월세","26.8033","202512","31","500","54","19","2017","동대구로 336","202601~202701","신규","-","","","아파트"
