"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"2355","부산광역시 연제구 연산동","309-5","0309","0005","월드파크4","전세","58.7800","202601","31","20,000","0","7","2017","과정로 320","202602~202801","갱신","사용","19,500","0","아파트"
"2356","부산광역시 연제구 연산동","309-5","0309","0005","월드파크4","전세","58.7800","202601","31","20,000","0","7","2017","과정로 320","202602~202802","갱신","사용","19,500","0","아파트"
"2357","부산광역시 연제구 연산동","983-9","0983","0009","현대(983-9)","전세","84.9550","202601","31","20,000","0","11","1997","고분로112번길 23","202603~202803","신규","-","","","아파트"
"2358","부산광역시 연제구 연산동","2382","2382","0000","힐스테이트연산","전세","84.9696","202601","31","43,000","0","13","2021","봉수로 2","202604~202804","신규","-","","","아파트"
"2359","부산광역시 사상구 주례동","57-17","0057","0017","팍스타운","전세","70.2715","202601","31","18,000","0","6","2018","가야대로378번길 1","202602~202802","신규","-","","","아파트"
"2360","부산광역시 수영구 광안동","744-32","0744","0032","유림주상복합","월세","23.0400","202601","31","700","33","7","2004","장대골로7번길 45","202602~202702","신규","-","","","아파트"
"2361","부산광역시 수영구 광안동","195-9","0195","0009","경동리인","전세","53.7200","202601","31","25,200","0","12","2022","광남로 122","202603~202803","신규","-","","","아파트"
"2362","부산광역시 연제구 연산동","578-1","0578","0001","삼익","전세","62.6400","202601","31","17,000","0","2","1979","중앙대로 1164","202602~202802","신규","-","","","아파트"
"2363","부산광역시 사상구 주례동","530-5","0530","0005","현대무지개타운","월세","84.9900","202601","31","3,000","50","1","1993","주례로 93","202601~202801","신규","-","","","아파트"
"2364","부산광역시 연제구 연산동","578-1","0578","0001","삼익","전세","62.6400","202601","31","17,000","0","2","1979","중앙대로 1164","202603~202803","신규","-","","","아파트"
"2365","부산광역시 연제구 연산동","578-1","0578","0001","삼익","전세","62.6400","202601","31","17,000","0","2","1979","중앙대로 1164","202603~202803","신규","-","","","아파트"
"2366","부산광역시 수영구 망미동","208-1","0208","0001","동림","전세","49.2600","202601","31","9,300","0","2","1982","구락로 92","202602~202802","신규","-","","","아파트"
"2367","부산광역시 연제구 연산동","2382","2382","0000","힐스테이트연산","전세","84.9696","202601","31","33,600","0","15","2021","봉수로 2","202602~202802","갱신","사용","32,000","0","아파트"
"2368","부산광역시 연제구 연산동","346-1","0346","0001","삼경","월세","60.9900","202601","31","2,000","50","1","1981","과정로294번가길 26","202602~202702","신규","-","","","아파트"
"2369","부산광역시 연제구 연산동","2362","2362","0000","시청역비스타동원","전세","84.9780","202601","31","33,600","0","7","2019","연제로 30","202602~202802","갱신","사용","32,000","0","아파트"
"2370","부산광역시 사상구 학장동","168-8","0168","0008","구학마을","전세","46.3200","202601","31","7,500","0","15","1993","학감대로49번길 28-19","202603~202803","신규","-","","","아파트"
"2371","부산광역시 연제구 연산동","2322","2322","0000","브라운스톤연제1단지","전세","59.9920","202601","31","30,000","0","3","2016","연제로8번길 29","202602~202801","갱신","-","26,000","0","아파트"
"2372","부산광역시 수영구 수영동","552","0552","0000","수영강동원로얄듀크","월세","80.5623","202601","31","24,000","40","8","2014","수미로14번길 35","202602~202802","갱신","-","24,000","40","아파트"
"2373","부산광역시 사상구 학장동","820-1","0820","0001","학장무학","월세","59.9900","202601","31","2,000","60","18","1997","대동로 84","202602~202802","신규","-","","","아파트"
