"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","광주광역시 서구 금호동","786","0786","0000","마재마을주은","전세","84.9600","202602","23","20,000","0","7","2000","마재로 57","202602~202702","갱신","사용","20,000","0","아파트"
"2","광주광역시 서구 치평동","1166-2","1166","0002","대우금호","전세","59.9400","202602","23","16,800","0","17","1998","치평로 107","202603~202803","갱신","사용","16,000","0","아파트"
"3","광주광역시 서구 치평동","1166-2","1166","0002","대우금호","전세","59.9400","202602","23","17,000","0","3","1998","치평로 107","202604~202804","신규","-","","","아파트"
"4","광주광역시 남구 주월동","81-2","0081","0002","해태1","월세","84.9600","202602","23","2,000","60","3","1998","회재로1173번길 40","202603~202803","신규","-","","","아파트"
"5","광주광역시 동구 소태동","501","0501","0000","모아미래도","전세","84.6400","202602","23","16,000","0","2","2003","학소로76번길 14","202602~202802","갱신","-","16,000","0","아파트"
"6","광주광역시 북구 중흥동","836","0836","0000","제일풍경채센트럴파크1단지","전세","109.7900","202602","23","50,000","0","10","2022","우치로40번길 25","202603~202803","갱신","사용","54,000","0","아파트"
"7","광주광역시 북구 중흥동","323-1","0323","0001","모아1","전세","133.3500","202602","23","21,000","0","9","1991","서암대로 199","202603~202803","갱신","사용","25,000","0","아파트"
"8","광주광역시 서구 화정동","858-3","0858","0003","태영","전세","59.9300","202602","23","12,000","0","13","1989","염화로40번길 20-1","202605~202805","신규","-","","","아파트"
"9","광주광역시 남구 임암동","731","0731","0000","광주효천1엘에이치3단지","월세","26.7000","202602","23","3,182","6","12","2020","효천중앙로 35","202602~202802","신규","-","","","아파트"
"10","광주광역시 서구 금호동","815","0815","0000","호반리젠시빌2차","월세","39.7920","202602","23","1,000","50","18","2000","화개1로 33","202602~202702","신규","-","","","아파트"
"11","광주광역시 동구 학동","1022","1022","0000","무등산아이파크","전세","84.9287","202602","23","42,000","0","19","2017","남문로753번길 20","202602~202802","갱신","사용","40,000","0","아파트"
"12","광주광역시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","39.7200","202602","23","2,181","12","6","2009","하남대로261번길 11","202603~202802","갱신","-","2,077","12","아파트"
"13","광주광역시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","46.9000","202602","23","2,863","16","5","2009","하남대로261번길 11","202603~202802","갱신","-","2,726","15","아파트"
"14","광주광역시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","46.9000","202602","23","2,163","18","1","2009","하남대로261번길 11","202603~202802","갱신","-","2,026","17","아파트"
"15","광주광역시 광산구 쌍암동","686-2","0686","0002","첨단중해마루힐1차주상복합","전세","84.9822","202602","23","25,710","0","15","2020","임방울대로825번길 60-6","202603~202803","갱신","-","25,079","0","아파트"
"16","광주광역시 광산구 우산동","1620","1620","0000","국제미소래","전세","59.4918","202602","23","15,410","0","6","2017","용아로 175","202604~202804","신규","-","","","아파트"
"17","광주광역시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","51.9300","202602","23","3,544","19","2","2009","하남대로261번길 11","202603~202802","신규","-","","","아파트"
"18","광주광역시 북구 신용동","737","0737","0000","광주첨단2지구사랑으로부영","전세","60.4624","202602","23","21,000","0","4","2013","첨단연신로 166","202604~202804","신규","-","","","아파트"
"19","광주광역시 광산구 신가동","1202","1202","0000","아름마을휴먼시아3단지","월세","46.9000","202602","23","4,463","8","11","2009","하남대로261번길 11","202603~202802","갱신","-","4,201","6","아파트"
"20","광주광역시 광산구 월계동","763-6","0763","0006","호반2차","전세","59.8200","202602","23","13,000","0","1","1997","월계로 59","202603~202803","신규","-","","","아파트"
