"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"40281","경상남도 창원시 진해구 용원동","1338","1338","0000","부산신항사랑으로부영6단지","월세","84.6270","202503","31","4,277","34","16","2019","신항5로 56","202504~202604","갱신","-","4,194","33","아파트"
"40282","경상남도 창원시 마산합포구 신포동2가","54","0054","0000","삼익","월세","84.2600","202503","31","3,000","50","11","1979","서성로 43","202505~202705","신규","-","","","아파트"
"40283","경상남도 진주시 평거동","1130","1130","0000","더퀸즈웰가","전세","58.4018","202503","31","28,000","0","25","2015","새평거로 25","202505~202705","신규","-","","","아파트"
"40284","경상남도 진주시 평거동","192-1","0192","0001","들말한보타운","전세","59.8000","202503","31","18,500","0","11","1997","평거로39번길 9","202505~202705","신규","-","","","아파트"
"40285","경상남도 창원시 진해구 자은동","911","0911","0000","성원","월세","39.7500","202503","31","1,000","40","1","1995","냉천로108번길 6","202504~202603","갱신","-","1,000","40","아파트"
"40286","경상남도 창원시 진해구 자은동","125","0125","0000","자은중흥에스-클래스","전세","76.1615","202503","31","28,000","0","4","2017","냉천로 262","202505~202705","신규","-","","","아파트"
"40287","경상남도 진주시 평거동","1132","1132","0000","엠코타운더프라하","월세","84.9651","202503","31","3,000","120","3","2014","새평거로 30","202503~202703","신규","-","","","아파트"
"40288","경상남도 창원시 마산합포구 교방동","367-1","0367","0001","상록","월세","59.9613","202503","31","2,512","21","2","2008","노산서18길 141","202507~202707","갱신","-","2,392","20","아파트"
"40289","경상남도 창원시 진해구 청안동","473","0473","0000","부영3차","월세","59.8404","202503","31","1,000","50","6","2003","안청북로 15","202504~202704","신규","-","","","아파트"
"40290","경상남도 진주시 하대동","72","0072","0000","상대주공","월세","41.5500","202503","31","200","25","1","1980","상대로 101","-","-","-","","","아파트"
"40291","경상남도 창원시 진해구 남문동","1274-1","1274","0001","시티프라디움1차아파트","월세","59.9808","202503","31","1,000","60","5","2017","웅천동로 16","202504~202704","신규","-","","","아파트"
"40292","경상남도 창원시 진해구 남문동","1256-1","1256","0001","시티프라디움2차","전세","74.1476","202503","31","18,000","0","19","2017","웅천동로 100","202506~202706","신규","-","","","아파트"
"40293","경상남도 진주시 초전동","1669","1669","0000","진주초장엠코타운더이스턴파크","월세","73.6669","202503","31","7,000","80","24","2014","초북로 77","202504~202704","신규","-","","","아파트"
"40294","경상남도 진주시 주약동","156","0156","0000","한주럭키타운","전세","84.8100","202503","31","18,000","0","1","1990","진주대로 859","202504~202704","신규","-","","","아파트"
"40295","경상남도 창원시 진해구 용원동","1209","1209","0000","코아루","전세","84.7156","202503","31","17,500","0","1","2005","안골로 339","202505~202705","신규","-","","","아파트"
"40296","경상남도 창원시 진해구 용원동","1209","1209","0000","코아루","전세","84.7156","202503","31","18,000","0","1","2005","안골로 339","202505~202705","신규","-","","","아파트"
"40297","경상남도 창원시 진해구 용원동","1341-2","1341","0002","부산신항8단지부영아파트","전세","84.6270","202503","31","13,808","0","19","2017","신항동로 136","202504~202604","갱신","-","13,658","0","아파트"
"40298","경상남도 창원시 진해구 용원동","1336-4","1336","0004","사랑으로부영2단지아파트","전세","84.6270","202503","31","11,683","0","16","2018","신항동로 226","202505~202605","갱신","-","11,556","0","아파트"
"40299","경상남도 창원시 의창구 북면 무동리","124-1","0124","0001","창원무동센텀파라디아","전세","72.9942","202503","31","17,500","0","22","2018","무동서로 24","202504~202603","갱신","-","17,500","0","아파트"
"40300","경상남도 창원시 성산구 신촌동","21-3","0021","0003","상림","월세","58.7700","202503","31","1,000","40","1","1984","신촌로 77","202504~202704","신규","-","","","아파트"
"40301","경상남도 창원시 의창구 북면 감계리","290","0290","0000","창원포레힐스데시앙","전세","84.8941","202503","31","27,500","0","5","2025","감계로187번길 9","202504~202704","신규","-","","","아파트"
"40302","경상남도 창원시 의창구 북면 화천리","807","0807","0000","삼우","월세","84.8700","202503","31","2,500","35","6","1997","천주로613번길 5","202504~202704","신규","-","","","아파트"
"40303","경상남도 진주시 초전동","1665","1665","0000","힐스테이트초전","전세","84.9196","202503","31","35,000","0","6","2019","초북로 95","202505~202705","신규","-","","","아파트"
"40304","경상남도 진주시 주약동","156","0156","0000","한주럭키타운","전세","84.8100","202503","31","18,000","0","1","1990","진주대로 859","202504~202704","신규","-","","","아파트"
"40305","경상남도 창원시 의창구 북면 감계리","232-1","0232","0001","감계아내에코프리미엄2차","전세","84.8776","202503","31","20,832","0","7","2019","감계로 342","202504~202704","갱신","사용","19,840","0","아파트"
"40306","경상남도 진주시 가좌동","2033","2033","0000","덕진진주의봄프리미엄아파트","월세","59.5680","202503","31","20,400","5","19","2025","진주역로 50","202502~202702","신규","-","","","아파트"
